Line,Time,saw 1,Result 0,Result 1000,Result -1000,
42,0.41,-2.2,-1.52966,-1.52966,-1.52966,
43,0.42,-2,-1.44364,-1.44364,-1.44364,
44,0.43,-1.8,-1.35044,-1.35044,-1.35044,
45,0.44,-1.6,-1.24898,-1.24898,-1.24898,
46,0.45,-1.4,-1.13798,-1.13798,-1.13798,
47,0.46,-1.2,-1.01597,-1.01597,-1.01597,
48,0.47,-1,-0.881374,-0.881374,-0.881374,
49,0.48,-0.8,-0.732668,-0.732668,-0.732668,
50,0.49,-0.6,-0.568825,-0.568825,-0.568825,
51,0.5,-0.4,-0.390035,-0.390035,-0.390035,
52,0.51,-0.2,-0.19869,-0.19869,-0.19869,
53,0.52,0,0,0,0,
54,0.53,0.2,0.19869,0.19869,0.19869,
55,0.54,0.4,0.390035,0.390035,0.390035,
56,0.55,0.6,0.568825,0.568825,0.568825,
57,0.56,0.8,0.732668,0.732668,0.732668,
58,0.57,1,0.881374,0.881374,0.881374,
59,0.58,1.2,1.01597,1.01597,1.01597,
60,0.59,1.4,1.13798,1.13798,1.13798,
61,0.6,1.6,1.24898,1.24898,1.24898,
62,0.61,1.8,1.35044,1.35044,1.35044,
63,0.62,2,1.44364,1.44364,1.44364,
64,0.63,2.2,1.52966,1.52966,1.52966,
65,0.64,2.4,1.60944,1.60944,1.60944,
66,0.65,2.6,1.68374,1.68374,1.68374,
67,0.66,2.8,1.75323,1.75323,1.75323,
68,0.67,3,1.81845,1.81845,1.81845,
69,0.68,3.2,1.87986,1.87986,1.87986,
70,0.69,3.4,1.93788,1.93788,1.93788,
71,0.7,3.6,1.99284,1.99284,1.99284,
72,0.71,3.8,2.04503,2.04503,2.04503,
73,0.72,4,2.09471,2.09471,2.09471,
74,0.73,4.2,2.14211,2.14211,2.14211,
75,0.74,4.4,2.18742,2.18742,2.18742,
76,0.75,4.6,2.23081,2.23081,2.23081,
77,0.76,4.8,2.27244,2.27244,2.27244,
78,0.77,5,2.31244,2.31244,2.31244,
79,0.78,5.2,2.35093,2.35093,2.35093,
80,0.79,5.4,2.38801,2.38801,2.38801,
81,0.8,5.6,2.42379,2.42379,2.42379,
82,0.81,5.8,2.45836,2.45836,2.45836,
83,0.82,6,2.49178,2.49178,2.49178,
84,0.83,6.2,2.52414,2.52414,2.52414,
85,0.84,6.4,2.55549,2.55549,2.55549,
86,0.85,6.6,2.58591,2.58591,2.58591,
87,0.86,6.8,2.61543,2.61543,2.61543,
88,0.87,7,2.64412,2.64412,2.64412,
89,0.88,7.2,2.67202,2.67202,2.67202,
90,0.89,7.4,2.69916,2.69916,2.69916,
91,0.9,7.6,2.7256,2.7256,2.7256,
92,0.91,7.8,2.75135,2.75135,2.75135,
93,0.92,8,2.77647,2.77647,2.77647,
94,0.93,8.2,2.80098,2.80098,2.80098,
95,0.94,8.4,2.8249,2.8249,2.8249,
96,0.95,8.6,2.84827,2.84827,2.84827,
97,0.96,8.8,2.87111,2.87111,2.87111,
98,0.97,9,2.89344,2.89344,2.89344,
99,0.98,9.2,2.91529,2.91529,2.91529,
100,0.99,9.4,2.93667,2.93667,2.93667,
101,1,9.6,2.95761,2.95761,2.95761,
102,1.01,9.8,2.97812,2.97812,2.97812,
103,1.02,-10,-2.99822,-2.99822,-2.99822,
104,1.03,-9.8,-2.97812,-2.97812,-2.97812,
105,1.04,-9.6,-2.95761,-2.95761,-2.95761,
106,1.05,-9.4,-2.93667,-2.93667,-2.93667,
107,1.06,-9.2,-2.91529,-2.91529,-2.91529,
108,1.07,-9,-2.89344,-2.89344,-2.89344,
109,1.08,-8.8,-2.87111,-2.87111,-2.87111,
110,1.09,-8.6,-2.84827,-2.84827,-2.84827,
111,1.1,-8.4,-2.8249,-2.8249,-2.8249,
112,1.11,-8.2,-2.80098,-2.80098,-2.80098,
