Line;Time;Clk 1;A;B;C;D;E;F;
128;1.27;False;True;True;True;True;True;True;
129;1.28;True;False;False;False;False;False;False;
130;1.29;False;False;False;False;False;False;False;
131;1.3;True;True;False;False;False;False;False;
132;1.31;False;True;False;False;False;False;False;
133;1.32;True;False;True;False;False;False;False;
134;1.33;False;False;True;False;False;False;False;
135;1.34;True;True;True;False;False;False;False;
136;1.35;False;True;True;False;False;False;False;
137;1.36;True;False;False;True;False;False;False;
138;1.37;False;False;False;True;False;False;False;
139;1.38;True;True;False;True;False;False;False;
140;1.39;False;True;False;True;False;False;False;
141;1.4;True;False;True;True;False;False;False;
